tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments
1956967341,دەزانم پێشتر گوێم لە خووی خراپ بوو و دەستم کرد بە freakin لە لایەن ئەوەوە =[,empty,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,i know i was listenin to bad habit earlier and i started freakin at his part =[,بەتاڵ
1956967666,لایین ن جێگا بە سەرئێشە ughhhh...waitin لە پەیوەندیەکەت...,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,Layin n bed with a headache ughhhh...waitin on your call...,دڵتەنگ
1956967696,ئاهەنگی پرسە...هەینییەکی تاریک...,sadness,coolfunky,Funeral ceremony...gloomy friday...,Funeral ceremony...gloomy friday...,دڵتەنگ
1956967789,دەیەوێت بەم زووانە لەگەڵ هاوڕێکانی کۆببێتەوە!,enthusiasm,czareaquino,wants to hang out with friends SOON!,wants to hang out with friends SOON!,پەرۆش
1956968416,ئێمە دەمانەوێت بازرگانی لەگەڵ کەسێک بکەین کە بلیتی هیوستنی هەیە، بەڵام کەس نایکات.,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.","We want to trade with someone who has Houston tickets, but no one will.",ئاسایی
1956968477,دووبارە پینگکردن بۆچی نەچوویتە ئاهەنگی دەرچوون؟ بی سی bf ی من حەزی لە هاوڕێکانم نەبوو,worry,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,Re-pinging why didn't you go to prom? BC my bf didn't like my friends,نیگەران
1956968487,من دەبێ بخەوم، بەڵام ئیم نا! بیرکردنەوە لە هاوڕێیەکی کۆن کە من دەمەوێت. بەڵام ئێستا هاوسەرگیری کردووە. نەفرەت، &amp; ئەو منی دەوێت ٢! فەزیحە!,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!","I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",دڵتەنگ
1956968636,هەممم. http://www.djhero.com/ دابەزیوە,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,Hmmm. http://www.djhero.com/ is down,نیگەران
1956969035,شارلین خۆشەویستەکەم. بیرت دەکەم,sadness,nic0lepaula,@charviray Charlene my love. I miss you,Charlene my love. I miss you,دڵتەنگ
1956969172,ببورن لانیکەم ڕۆژی هەینییە؟,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,I'm sorry at least it's Friday?,دڵتەنگ
1956969456,ناتوانم بخەوم,neutral,feinyheiny,cant fall asleep,cant fall asleep,ئاسایی
1956969531,خنکا بە ڕیتێنەرەکانی,worry,dudeitsmanda,Choked on her retainers,Choked on her retainers,نیگەران
1956970047,ئەف! دەبێت لەم گۆرانییە گەمژانە بدەم تا بگەمە بێئەدەبی داهاتوو!,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,Ugh! I have to beat this stupid song to get to the next rude!,دڵتەنگ
1956970424,ئەگەر سەیری گردەکان بکەیت لە لەندەن ئەوا تێدەگەیت کە چ گەشتێکە چونکە هەفتە و هەفتە دواکەوتبوو من تەنها سەیری itonlinelol دەکەم,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,دڵتەنگ
1956970860,هەواڵەکەی دەستکەوت,surprise,okiepeanut93,Got the news,Got the news,سوپرایز
1956971077,زریانەکە لێرەیە و کارەبا نەماوە,sadness,Sim_34,The storm is here and the electricity is gone,The storm is here and the electricity is gone,دڵتەنگ
1956971170,ڕازی بوو,love,poppygallico,@annarosekerr agreed,agreed,خۆشەویستی
1956971206,ئەوەندە خەواڵووی دیسانەوە و تەنانەت ئەوەندە درەنگ نەبووە. جارێکی تر شکست دێنم.,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,So sleepy again and it's not even that late. I fail once again.,دڵتەنگ
1956971473,lady gaga لە تویتێکدا باسی لەوە کردووە کە سەرسام نەبووە بە دزەپێکردنی ڤیدیۆکەی تەنها بۆ ئەوەی بزانن,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,lady gaga tweeted about not being impressed by her video leaking just so you know,نیگەران
1956971586,چۆن قەناعەتت هەیە کە من هەمیشە تۆم ویستووە؟ چ سیگناڵێکم داوە...نەفرەت پێم وایە تازە هاوڕێیەکی ترم لەدەستداوە,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,دڵتەنگ
1956971981,ئای زۆر خراپە! هیوادارم باشتر بێت. منیش لەم دواییانەدا کێشەی خەوتنم هەیە,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,oh too bad! I hope it gets better. I've been having sleep issues lately too,نیگەران
1956972097,پێم سەیرە بۆچی کاتژمێر ٧ی بەیانی بەئاگام،گۆرانییەکی نوێ دەنووسم،پیلانی پیلانە نهێنییە خراپەکانم دەگێڕم muahhaha...ئۆه نەفرەت،ئیتر نهێنی نییە,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",خۆشی
1956972116,قسەکانی نەخشەی هیچ بابەتێک لە پرۆگرامی کۆنفرانسی مارکاپی بالیساج ٢٠٠٩ بە شێوەی ئۆنلاین لە http://tr.im/mL6Z (لە ڕێگەی #topicmaps,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at http://tr.im/mL6Z (via #topicmaps,ئاسایی
1956972270,شتێکم خوارد کە نازانم چییە... بۆچی بەردەوام شتەکان دەگێڕمەوە دەربارەی خواردن,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,I ate Something I don't know what it is... Why do I keep Telling things about food,نیگەران
1956972359,ئەوەندە ماندووم و پێموایە بە دڵنیاییەوە تووشی هەوکردنی گوێچکە دەبم. چوونە سەر جێگا &quot;زوو&quot; ته نها جاریک.,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.,دڵتەنگ
1956972444,لە ڕێگام بۆ ماڵەوە n هەبوونی 2 گرێبەست w کچانی کەم تەمەن خواردنەوەی جین لە دا پاس لەکاتێکدا باسی bout keggers......نەفرەت هەست بە پیری,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,نیگەران
1956972557,ببورە خەڵک زۆر بێ ئەدەبن لەگەڵت، isaac، پێویستە هەندێک ڕەوشت بەدەست بهێنن و باشتر بزانن لەوەی ئەوەندە لەشفرۆش بن!,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",دڵتەنگ
1956972884,دام سێرڤەرەکان هێشتا دابەزین پێویستە 80 لێبدەم پێش ئەوەی هەموو کۆکسپەرەکان تێپەڕنم,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,Damm servers still down i need to hit 80 before all the koxpers pass me,نیگەران
1956973598,فۆدج.... تەنها ئەو هەموو کاغەزەم BS'd کرد.... ئەوەندە ماندوو بووم.... ئەف ڕقم لە قوتابخانەیە..... کاتی خەوتن!!!!!!!!!!!,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school..... time to sleep!!!!!!!!!!!,دڵتەنگ
1956973690,ڕقم لە شێرپەنجەیە. ڕقم لێیە ڕقم لێیە ڕقم لێیە.,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,نیگەران
1956974706,ئەوەندە بێزارکەر دەبێت کاتێک لە نیوەی شەودا دەست دەکات بە تایپکردن لەسەر کۆمپیوتەرەکەی!,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,It is so annoying when she starts typing on her computer in the middle of the night!,ڕق
1956975441,ناتوانم بخەوم,neutral,LovableKeKe,@cynthia_123 i cant sleep,i cant sleep,ئاسایی
1956975860,بیری پاسی bl***yم کرد!!!!!!!!,neutral,analalalah,I missed the bl***y bus!!!!!!!!,I missed the bl***y bus!!!!!!!!,ئاسایی
1956975876,هەست بە گرژبوونی بەهێز دەکات بەڵام دەیەوێت بچێتە دەرەوە. http://plurk.com/p/wxidk,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,feels strong contractions but wants to go out. http://plurk.com/p/wxidk,ئاسایی
1956975927,سۆکال! stoked. یان ڕەنگە نەبێت.. سبەی,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,SoCal! stoked. or maybe not.. tomorrow,ئاسایی
1956976187,Screw you من تەنها 3 هەفتەم هەیە...,neutral,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,Screw you I only have 3 weeks...,ئاسایی
1956976312,بەڵێ :S هەست بە هەموو شتێکی کۆمیدی دەکەم چونکە من بەشی ئەوەندە نەخەوتووە دایکم لە خەو هەڵسا چونکە گۆرانیم دەگوت سەرسام نەبووە :S تۆ؟,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you?,دڵتەنگ
1956976371,من ئێستا پێویستم بە سکۆتە,worry,babyxj,I need skott right now,I need skott right now,نیگەران
1956976557,ئەمڕۆ پاشنیوەڕۆ کارەکانی هەیە,neutral,JanBenn,has work this afternoon,has work this afternoon,ئاسایی
1956976681,ئاو تۆ ئەنفۆڵۆوم نەدەکرد ئەی؟ پاشان دەگریام,neutral,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,Aw you would not unfollow me would you? Then I would cry,ئاسایی
1956977084,mmm ڕۆژێکی زۆر باشتر... تا ئێستا! هێشتا زۆر زووە. کۆتا ڕۆژی #uds,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,mmm much better day... so far! it's still quite early. last day of #uds,بەختەوەر
1956977187,&lt;3 تۆ دەبێتە یەکەم تویتەر ;) دەبێتە هۆی سەرسوڕهێنەرەکەت خخخخ. وەرە بۆ کەنەدا هەر شتێکم دەکرد بۆ ئەوەی ببینم تۆ نمایش بکەیت,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform,خۆشی
1956977618,تازە لە ناوەڕاستی شەقامەکەوە بلاکبێرییەکەی هەڵگرتووە! هەم ئەو و هەم ئەویش چەقێنراون!,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,نیگەران
1956977624,بۆچی هەست دەکەم کە دەبێ لە دەوروبەری ئەم کاتەی ساڵدا پاکەت بکەم و لێبدەم بۆ SFO؟ پێم وایە شتێکم لەدەست داوە...,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,نیگەران
1956978276,قوتابخانەی ناوەندی و elem. ئامادەییەکان بە کراوەیی دەمێننەوە بۆ ئەو کەسانەی کە پێویستیان بە کرێدت هەیە بۆ دەرچوون. کالی شکا,empty,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,بەتاڵ
1956978410,جێگا!!!!!... کاتی خۆی،..... هیوادارم سبەی بچمە قوتابخانە، هەموو هەرچەندە هەست بە باشییەکی زۆر ناکەم لە ئێستادا,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",نیگەران
